epoch,lr-Adam/background,lr-Adam/geometry,step,train/grad_norm,train/loss_opaque,train/loss_orient,train/loss_sds,train/loss_sparsity,train/max_step,train/min_step,train_params/lambda_opaque,train_params/lambda_orient,train_params/lambda_sds,train_params/lambda_sparsity
,0.001,0.01,0,,,,,,,,,,,
0,,,0,37.29928207397461,0.14328834414482117,0.016727039590477943,695.6182250976562,0.2343374788761139,980.0,20.0,0.0,10.0,1.0,1.0
,0.001,0.01,1,,,,,,,,,,,
0,,,1,20.850191116333008,0.15173980593681335,0.02241547964513302,217.365234375,0.28464579582214355,980.0,20.0,0.0,10.197999954223633,1.0,1.0
,0.001,0.01,2,,,,,,,,,,,
0,,,2,12.328990936279297,0.14416714012622833,0.017160611227154732,76.00201416015625,0.23771187663078308,980.0,20.0,0.0,10.395999908447266,1.0,1.0
,0.001,0.01,3,,,,,,,,,,,
0,,,3,6.691431522369385,0.09269660711288452,0.01668836921453476,22.38762855529785,0.18598410487174988,980.0,20.0,0.0,10.593999862670898,1.0,1.0
,0.001,0.01,4,,,,,,,,,,,
0,,,4,1.5977941751480103,0.11338533461093903,0.01643437147140503,1.276473045349121,0.20580928027629852,980.0,20.0,0.0,10.791999816894531,1.0,1.0
,0.001,0.01,5,,,,,,,,,,,
0,,,5,26.327932357788086,0.25553858280181885,0.018753280863165855,346.58001708984375,0.3560597896575928,980.0,20.0,0.0,10.989999771118164,1.0,1.0
,0.001,0.01,6,,,,,,,,,,,
0,,,6,5.5093159675598145,0.07810606062412262,0.01690373197197914,15.17628002166748,0.17141041159629822,980.0,20.0,0.0,11.187999725341797,1.0,1.0
,0.001,0.01,7,,,,,,,,,,,
0,,,7,21.128952026367188,0.18521371483802795,0.01689780503511429,223.21630859375,0.2779233455657959,980.0,20.0,0.0,11.38599967956543,1.0,1.0
,0.001,0.01,8,,,,,,,,,,,
0,,,8,27.799396514892578,0.17410768568515778,0.01722639985382557,386.4032287597656,0.26521599292755127,980.0,20.0,0.0,11.583999633789062,1.0,1.0
,0.001,0.01,9,,,,,,,,,,,
0,,,9,27.93782615661621,0.15816786885261536,0.01662665419280529,390.26104736328125,0.2498914748430252,980.0,20.0,0.0,11.781999588012695,1.0,1.0
,0.001,0.01,10,,,,,,,,,,,
0,,,10,9.824996948242188,0.14667946100234985,0.016681041568517685,48.265281677246094,0.23689234256744385,980.0,20.0,0.0,11.979999542236328,1.0,1.0
,0.001,0.01,11,,,,,,,,,,,
0,,,11,20.613630294799805,0.16300615668296814,0.019646216183900833,212.4608917236328,0.28571510314941406,980.0,20.0,0.0,12.178000450134277,1.0,1.0
,0.001,0.01,12,,,,,,,,,,,
0,,,12,10.17064380645752,0.2869817614555359,0.019057175144553185,51.72100067138672,0.392070472240448,980.0,20.0,0.0,12.37600040435791,1.0,1.0
,0.001,0.01,13,,,,,,,,,,,
0,,,13,14.796609878540039,0.331792414188385,0.020926568657159805,109.46983337402344,0.45885396003723145,980.0,20.0,0.0,12.574000358581543,1.0,1.0
,0.001,0.01,14,,,,,,,,,,,
0,,,14,6.369927406311035,0.23462726175785065,0.021197132766246796,20.287986755371094,0.37075328826904297,980.0,20.0,0.0,12.772000312805176,1.0,1.0
,0.001,0.01,15,,,,,,,,,,,
0,,,15,8.143254280090332,0.15251293778419495,0.019861552864313126,33.15629577636719,0.27115368843078613,980.0,20.0,0.0,12.970000267028809,1.0,1.0
,0.001,0.01,16,,,,,,,,,,,
0,,,16,33.3343505859375,0.12652868032455444,0.01709645986557007,555.5894775390625,0.21727606654167175,980.0,20.0,0.0,13.168000221252441,1.0,1.0
,0.001,0.01,17,,,,,,,,,,,
0,,,17,6.677885055541992,0.17516030371189117,0.01742071658372879,22.297075271606445,0.2667894661426544,980.0,20.0,0.0,13.366000175476074,1.0,1.0
,0.001,0.01,18,,,,,,,,,,,
